Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C17"	"0805'"	"76.07mm"	"-12.45mm"	"76.07mm"	"-12.45mm"	"77.09mm"	"-12.45mm"	"T"	"180"	"2.2uF"
"C18"	"0805'"	"74.04mm"	"-14.73mm"	"74.04mm"	"-14.73mm"	"73.03mm"	"-14.73mm"	"T"	"0"	"100p NP0"
"C19"	"0805'"	"77.98mm"	"-14.73mm"	"77.98mm"	"-14.73mm"	"78.99mm"	"-14.73mm"	"T"	"180"	"100p NP0"
"C20"	"C0805"	"75.95mm"	"-8.64mm"	"75.95mm"	"-8.64mm"	"76.95mm"	"-8.64mm"	"T"	"180"	"100uF (T)"
"C21"	"NFM21-0805-4PIN"	"69.98mm"	"-16.13mm"	"69.98mm"	"-16.13mm"	"69.98mm"	"-17.13mm"	"T"	"90"	"NFM21PC105B1C3D"
"C22"	"NFM21-0805-4PIN"	"86.11mm"	"-14.99mm"	"86.11mm"	"-14.99mm"	"85.11mm"	"-14.99mm"	"T"	"0"	"NFM21PC105B1C3D"
"C23"	"0805'"	"16.38mm"	"-8.13mm"	"16.38mm"	"-8.13mm"	"16.38mm"	"-7.11mm"	"T"	"270"	"0.1uF"
"C24"	"0805'"	"58.93mm"	"-11.05mm"	"58.93mm"	"-11.05mm"	"58.93mm"	"-10.03mm"	"T"	"270"	"0.01u"
"C25"	"NFM21-0805-4PIN"	"96.01mm"	"-8.89mm"	"96.01mm"	"-8.89mm"	"96.01mm"	"-7.89mm"	"T"	"270"	"NFM21PC105B1C3D"
"C26"	"NFM21-0805-4PIN"	"90.68mm"	"-8.76mm"	"90.68mm"	"-8.76mm"	"90.68mm"	"-7.76mm"	"T"	"270"	"NFM21PC105B1C3D"
"C27"	"NFM21-0805-4PIN"	"72.14mm"	"-12.07mm"	"72.14mm"	"-12.07mm"	"72.14mm"	"-11.06mm"	"T"	"270"	"NFM21PC105B1C3D"
"C28"	"NFM21-0805-4PIN"	"79.88mm"	"-11.94mm"	"79.88mm"	"-11.94mm"	"79.88mm"	"-10.94mm"	"T"	"270"	"NFM21PC105B1C3D"
"C29"	"1210"	"93.6mm"	"-20.32mm"	"93.6mm"	"-20.32mm"	"93.6mm"	"-22.05mm"	"T"	"90"	"0.1u PPS ECH-U1C104GX5"
"C30"	"0805'"	"83.31mm"	"-12.57mm"	"83.31mm"	"-12.57mm"	"83.31mm"	"-13.59mm"	"T"	"90"	"100p NP0"
"C31"	"0805'"	"65.28mm"	"-15.11mm"	"65.28mm"	"-15.11mm"	"65.28mm"	"-16.13mm"	"T"	"90"	"100p NP0"
"CN1"	"DF3A-2P-2DS"	"3.7mm"	"-4.57mm"	"6.73mm"	"1.14mm"	"4.7mm"	"-4.57mm"	"B"	"180"	"DF3A-2P-2DS"
"CN2"	"DF3A-2P-2DS"	"9.67mm"	"-4.57mm"	"12.7mm"	"1.14mm"	"10.67mm"	"-4.57mm"	"B"	"180"	"DF3A-2P-2DS"
"CN3"	"2P_2.54"	"21.84mm"	"-3.43mm"	"20.57mm"	"-3.43mm"	"20.57mm"	"-3.43mm"	"T"	"0"	"2.54_HEADER_2P"
"CN4"	"210S-1X8P"	"48.9mm"	"-30.35mm"	"48.9mm"	"-30.35mm"	"40.01mm"	"-30.35mm"	"B"	"0"	"Header-M2.54_1x8"
"CN5"	"2P_2.54"	"3.05mm"	"-10.29mm"	"3.05mm"	"-9.02mm"	"3.05mm"	"-9.02mm"	"T"	"270"	"2.54_HEADER_2P"
"CN7"	"HDR-3X1/2.54"	"54.74mm"	"-24.89mm"	"54.74mm"	"-24.89mm"	"57.28mm"	"-24.89mm"	"T"	"180"	"Header1x3_2.54"
"CN8"	"HDR-3X1/2.54"	"54.74mm"	"-27.81mm"	"54.74mm"	"-27.81mm"	"57.28mm"	"-27.81mm"	"T"	"180"	"Header1x3_2.54"
"CN9"	"2P_2.54"	"28.32mm"	"-3.43mm"	"29.59mm"	"-3.43mm"	"29.59mm"	"-3.43mm"	"T"	"180"	"2.54_HEADER_2P"
"D1"	"SOD-323"	"20.58mm"	"-24mm"	"20.57mm"	"-24mm"	"21.85mm"	"-24mm"	"T"	"180"	"BAT20JFILM"
"D2"	"SOD-123F"	"8mm"	"-26.04mm"	"8mm"	"-26.04mm"	"6.38mm"	"-26.04mm"	"T"	"0"	"1N5819W"
"D3"	"SOD-123F"	"16.51mm"	"-26.16mm"	"16.51mm"	"-26.16mm"	"18.14mm"	"-26.16mm"	"T"	"180"	"1N5819W"
"F1"	"SMD-L-1.6MMX0.8MM"	"69.6mm"	"-19.69mm"	"69.6mm"	"-19.69mm"	"70.4mm"	"-19.69mm"	"T"	"180"	"100pF"
"F2"	"SMD-L-1.6MMX0.8MM"	"69.6mm"	"-21.46mm"	"69.6mm"	"-21.46mm"	"70.4mm"	"-21.46mm"	"T"	"180"	"100pF"
"F3"	"SMD-L-1.6MMX0.8MM"	"69.6mm"	"-23.24mm"	"69.6mm"	"-23.24mm"	"70.4mm"	"-23.24mm"	"T"	"180"	"100pF"
"F4"	"SMD-L-1.6MMX0.8MM"	"69.6mm"	"-25.02mm"	"69.6mm"	"-25.02mm"	"70.4mm"	"-25.02mm"	"T"	"180"	"100pF"
